rank,domain,category,total_pairings,pass_normal,fail_normal,pass_rate_normal,pass_large,fail_large,pass_rate_large,worst_ratio,median_ratio,mean_ratio,fully_compliant_normal,fully_compliant_large
179,uba.ar,Other,5,4,1,80.0,4,1,80.0,1.44,10.56,10.19,No,No
180,ubuntu.com,Technology,2,0,2,0.0,0,2,0.0,1.0,1.52,1.26,No,No
181,uc.pt,Other,3,2,1,66.7,2,1,66.7,1.0,7.29,9.76,No,No
182,uct.ac.za,Education,5,2,3,40.0,3,2,60.0,1.0,3.22,7.51,No,No
183,ufl.edu,Education,25,14,11,56.0,17,8,68.0,1.0,5.95,7.32,No,No
184,ufrj.br,Other,3,1,2,33.3,1,2,33.3,1.0,1.66,6.92,No,No
185,ugr.es,Other,2,2,0,100.0,2,0,100.0,10.82,21.0,15.91,Yes,Yes
186,ulaval.ca,Other,3,0,3,0.0,0,3,0.0,1.0,1.0,1.18,No,No
187,uma.es,Other,26,13,13,50.0,19,7,73.1,1.0,4.69,5.6,No,No
188,umd.edu,Education,1,0,1,0.0,0,1,0.0,1.0,1.0,1.0,No,No
189,umich.edu,Education,17,11,6,64.7,11,6,64.7,1.0,11.42,9.3,No,No
190,umn.edu,Education,3,2,1,66.7,2,1,66.7,1.66,6.9,6.5,No,No
191,unam.mx,Other,32,26,6,81.2,28,4,87.5,1.0,10.53,10.57,No,No
192,unc.edu,Education,8,6,2,75.0,6,2,75.0,1.0,12.02,10.27,No,No
193,uned.es,Other,608,330,278,54.3,434,174,71.4,1.0,5.14,6.81,No,No
194,uni-goettingen.de,Other,5,4,1,80.0,5,0,100.0,3.62,8.93,11.42,No,Yes
195,uni-muenchen.de,Other,1,1,0,100.0,1,0,100.0,11.42,11.42,11.42,Yes,Yes
196,uni-stuttgart.de,Other,1,1,0,100.0,1,0,100.0,21.0,21.0,21.0,Yes,Yes
197,unibo.it,Other,25,16,9,64.0,17,8,68.0,1.0,7.17,8.68,No,No
198,unicamp.br,Other,25,16,9,64.0,18,7,72.0,1.0,7.42,9.05,No,No
199,unifrance.org,Other,2,1,1,50.0,1,1,50.0,1.13,21.0,11.06,No,No
200,unipd.it,Other,1,1,0,100.0,1,0,100.0,8.78,8.78,8.78,Yes,Yes
201,unlp.edu.ar,Education,18,9,9,50.0,11,7,61.1,1.0,6.01,8.13,No,No
202,unsplash.com,Other,35,24,11,68.6,26,9,74.3,1.0,9.04,10.26,No,No
203,unsw.edu.au,Education,1,1,0,100.0,1,0,100.0,18.26,18.26,18.26,Yes,Yes
204,unt.edu,Education,4,4,0,100.0,4,0,100.0,7.11,7.22,8.54,Yes,Yes
205,uol.com.br,Other,2,1,1,50.0,1,1,50.0,1.71,21.0,11.36,No,No
206,upc.edu,Education,4,3,1,75.0,3,1,75.0,1.0,12.02,9.16,No,No
207,usc.edu,Education,17,11,6,64.7,12,5,70.6,1.16,11.53,10.05,No,No
208,uservoice.com,Other,4,0,4,0.0,1,3,25.0,2.73,2.91,2.96,No,No
209,usp.br,Other,34,16,18,47.1,20,14,58.8,1.0,4.04,6.36,No,No
210,usps.com,Other,9,8,1,88.9,8,1,88.9,1.0,16.86,12.97,No,No
211,ut.ac.ir,Education,1,1,0,100.0,1,0,100.0,21.0,21.0,21.0,Yes,Yes
212,utah.edu,Education,1,0,1,0.0,0,1,0.0,1.66,1.66,1.66,No,No
213,utah.gov,Government,1,0,1,0.0,1,0,100.0,4.41,4.41,4.41,No,Yes
214,uvic.ca,Other,1,1,0,100.0,1,0,100.0,13.77,13.77,13.77,Yes,Yes
215,uzh.ch,Other,3,2,1,66.7,3,0,100.0,4.0,12.02,12.34,No,Yes
216,vecteezy.com,Other,74,35,39,47.3,46,28,62.2,1.0,3.95,6.8,No,No
217,virginia.gov,Government,3,1,2,33.3,1,2,33.3,1.0,1.76,7.92,No,No
218,vnexpress.net,Other,64,40,24,62.5,54,10,84.4,1.0,4.85,7.81,No,No
219,voanews.com,News/Media,7,2,5,28.6,2,5,28.6,1.0,1.62,2.82,No,No
220,vt.edu,Education,1,1,0,100.0,1,0,100.0,16.24,16.24,16.24,Yes,Yes
221,walla.co.il,Other,79,52,27,65.8,61,18,77.2,1.0,5.71,7.19,No,No
222,washington.edu,Education,1,1,0,100.0,1,0,100.0,12.02,12.02,12.02,Yes,Yes
223,weblio.jp,Other,1,0,1,0.0,0,1,0.0,2.39,2.39,2.39,No,No
224,wikimedia.org,Open Knowledge,2,1,1,50.0,1,1,50.0,1.0,21.0,11.0,No,No
225,wikinews.org,Open Knowledge,2,1,1,50.0,1,1,50.0,1.0,21.0,11.0,No,No
226,wikipedia.org,Open Knowledge,24,16,8,66.7,16,8,66.7,1.0,7.27,8.75,No,No
227,wikiquote.org,Open Knowledge,2,1,1,50.0,1,1,50.0,1.0,21.0,11.0,No,No
228,wikiversity.org,Open Knowledge,2,1,1,50.0,1,1,50.0,1.0,21.0,11.0,No,No
229,wikivoyage.org,Open Knowledge,2,1,1,50.0,1,1,50.0,1.0,21.0,11.0,No,No
230,wiktionary.org,Open Knowledge,2,1,1,50.0,1,1,50.0,1.0,21.0,11.0,No,No
231,wix.com,Hosting/Platform,25,16,9,64.0,19,6,76.0,1.0,4.62,9.09,No,No
232,wordpress.org,Hosting/Platform,97,42,55,43.3,77,20,79.4,1.0,4.01,6.19,No,No
233,wustl.edu,Education,11,9,2,81.8,9,2,81.8,1.0,10.14,10.74,No,No
234,xsrv.jp,Other,123,56,67,45.5,75,48,61.0,1.0,3.62,5.88,No,No
235,yale.edu,Education,2,2,0,100.0,2,0,100.0,4.69,13.08,8.88,Yes,Yes
236,yandex.ru,Other,24,15,9,62.5,17,7,70.8,1.0,12.04,9.45,No,No
237,yorku.ca,Other,7,5,2,71.4,6,1,85.7,1.36,12.02,10.94,No,No
238,youtube.com,Other,6,3,3,50.0,4,2,66.7,1.1,6.29,8.29,No,No
239,zenfolio.com,Other,25,11,14,44.0,15,10,60.0,1.0,3.66,6.37,No,No
240,zenit.org,Other,23,17,6,73.9,20,3,87.0,1.0,7.45,9.8,No,No
